zip,estimate,house area,lot area,month value change,LAT,LNG,Locations,Total Buildings,Percent Insured
77095,226932.68399999998,2382.9679358717435,8297.310621242485,25.724,29.909513,-95.651476,4001,9899,40.418224063036675
77096,379545.46,2402.537074148297,1011239.3264887064,4825.3640000000005,29.675339,-95.479372,5722,8227,69.55147684453628
77098,903371.87,2611.1402805611224,8630.503239740821,-606.4468937875753,29.734813,-95.416098,917,3084,29.734111543450066
77099,153013.13199999998,1710.190763052209,7220.53781512605,611.52,29.670869,-95.58599,2369,8405,28.185603807257586
77336,281375.68,2220.9736308316433,62637.437627811865,1906.296,30.063168,-95.098858,699,5620,12.437722419928827
77338,172952.046,1802.4397590361448,11420.619718309857,341.67800000000005,30.017301,-95.286217,950,5762,16.48733078792086
77339,272128.512,2603.746,13077.1046277666,-1885.692,30.046777,-95.221022,2619,8927,29.337963481572753
77345,326330.102,3052.2645290581163,10383.622,491.126,30.053105,-95.157943,2168,8962,24.191028788216915
77346,247649.548,2586.427710843373,7572.102,42.928000000000004,29.994499,-95.177499,2557,9943,25.716584531831437
77373,153220.062,1654.818,10150.738955823294,589.984,30.062169,-95.383966,2067,9685,21.34228187919463
77375,217457.98,2147.993987975952,11539.610526315792,839.13,30.094886,-95.58583,2163,9466,22.850200718360448
77377,270117.946,2634.3561368209257,14423.831663326653,255.078,30.061727,-95.681504,2110,8850,23.84180790960452
77379,289825.38,3026.426,13074.699596774191,551.148,30.040876,-95.528914,4792,9515,50.36258539148712
77388,244311.108,2615.692,10130.589178356711,863.174,30.057802,-95.470985,2413,8825,27.342776203966007
77389,302047.312,2587.334004024145,14305.885480572595,687.6272545090179,30.123469,-95.517064,2001,7853,25.480708009677834
77396,238352.668,2442.460764587525,9962.741869918698,301.12024048096185,29.945205,-95.259778,1765,8202,21.51914167276274
77401,813535.2559999999,3300.414,8559.0125,1470.618,29.704019,-95.460905,4777,6564,72.77574649603899
77429,350866.104,2603.41,16097.274,192.368,29.998421,-95.66736,7068,9314,75.88576336697444
77433,217132.00600000002,2279.094,6766.2144288577165,-745.0419999999999,29.934371,-95.747578,4243,9897,42.871577245629986
77447,266569.188,1980.3048780487804,104485.71457489877,865.9392712550607,30.047619,-95.833733,512,6553,7.813215321226918
77449,183784.2,1930.3393939393936,6767.193939393939,231.33,29.837572,-95.733754,2449,9656,25.362468931234467
