zip,address,lat,lng,house area,lot area,high,low,estimate,month value change,property tax
77002,"128 PIERCE ST, HOUSTON, TX 77002",29.753464,-95.377696,2096,1437,494692,447578,471135,-6346,471871.0
77002,"901 MAIN ST, HOUSTON, TX 77002",29.757494,-95.364237,810,,378670,173248,247497,577,
77002,"2016 MAIN ST PH 4, HOUSTON, TX 77002",29.748853999999998,-95.371605,1756,,289938,254712,270970,-1160,260186.0
77002,"120 PIERCE ST, HOUSTON, TX 77002",29.753482,-95.37773,2015,1573,484925,438741,461833,-6323,469559.0
77002,"1504 ROTHWELL ST, HOUSTON, TX 77002",29.769307,-95.35244200000001,1598,5602,361785,287490,323022,5533,152100.0
77002,"122 PIERCE ST, HOUSTON, TX 77002",29.753479,-95.377725,2096,2640,492018,445160,468589,-5492,435000.0
77002,"1305 BELL ST, HOUSTON, TX 77002",29.751726,-95.365116,3406,2461,1017963,871230,917084,-966,696874.0
77002,"2242 LA BRANCH ST, HOUSTON, TX 77002",29.745163,-95.368077,2151,1732,348970,315734,332352,2277,345000.0
77002,"4920 TRAVIS ST, HOUSTON, TX 77002",29.729975,-95.38748000000001,2285,2500,456251,408904,430425,-10951,364480.0
77002,"2255 AUSTIN ST, HOUSTON, TX 77002",29.745345,-95.368827,1965,1533,328120,296870,312495,-4299,337465.0
77002,"2259 AUSTIN ST, HOUSTON, TX 77002",29.745321999999998,-95.368845,1965,2091,336552,304500,320526,1293,299000.0
77002,"1934 CAROLINE ST, HOUSTON, TX 77002",29.748003999999998,-95.36835500000001,2680,8098,518654,455640,484723,-5903,400000.0
77002,"316 MAIN ST, HOUSTON, TX 77002",29.76172,-95.361417,695,,367762,174621,264577,8202,
77002,"2008 HELENA ST, HOUSTON, TX 77002",29.753627,-95.377821,2369,1762,501518,448978,477636,12124,530514.0
77002,"34 PORTLAND ST, HOUSTON, TX 77006",29.729516999999998,-95.387419,3655,2474,834384,746972,794651,1670,575736.0
77002,"112 PIERCE ST, HOUSTON, TX 77002",29.753662,-95.37804100000001,2029,1742,453995,410757,432376,-10946,417600.0
77002,"2248 LA BRANCH ST, HOUSTON, TX 77002",29.745116999999997,-95.368113,2151,1663,359065,324869,341967,7698,356327.0
77002,"2258 LA BRANCH ST, HOUSTON, TX 77002",29.745040999999997,-95.368173,2151,1555,333534,301768,317651,-3941,303029.0
77002,"1220 WASHINGTON AVE, HOUSTON, TX 77002",29.767086,-95.370538,721,,517506,285663,414005,5005,
77002,"3902 MAIN ST, HOUSTON, TX 77002",29.736736999999998,-95.38119499999999,2790,7200,649769,555257,590699,6834,513500.0
77002,"915 FRANKLIN ST, HOUSTON, TX 77002",29.763327,-95.360421,722,,567544,352427,457697,2903,656140.0
77002,"4640 MAIN ST, HOUSTON, TX 77002",29.732676,-95.384312,320,62561,3118149,1511830,2362234,-6373,2545302.0
77002,"3505 LOUISIANA ST, HOUSTON, TX 77002",29.741058000000002,-95.38110400000001,3597,5001,681234,506838,544987,-12146,452800.0
77002,"804 CHELSEA BLVD, HOUSTON, TX 77002",29.730016,-95.388165,1689,5001,635767,541579,588673,3536,675500.0
77002,"2256 LA BRANCH ST, HOUSTON, TX 77002",29.745055999999998,-95.368161,2151,1494,332501,300835,316668,-5519,330000.0
77002,"2215 AUSTIN ST, HOUSTON, TX 77002",29.745572999999997,-95.368645,2018,2073,366567,312759,336300,-7865,397592.0
77002,"406 HADLEY ST, HOUSTON, TX 77002",29.750053,-95.377486,2917,2048,546728,494658,520693,4777,520119.0
77002,"1701 FANNIN ST, HOUSTON, TX 77002",29.751096999999998,-95.368044,1100,,400112,222963,305429,1943,
77002,"2250 LA BRANCH ST, HOUSTON, TX 77002",29.745102000000003,-95.368125,2151,1724,333024,301308,317166,-11503,280000.0
77002,"116 PIERCE ST, HOUSTON, TX 77002",29.753621999999996,-95.37796999999999,2015,1446,488107,441621,464864,-12098,466670.0
77002,"2211 AUSTIN ST, HOUSTON, TX 77002",29.745595,-95.368627,2318,1951,345760,312830,329295,-223,305000.0
77002,"2120 MAIN ST, HOUSTON, TX 77002",29.748285,-95.372079,718,,136768,123742,130255,-3205,120490.0
77002,"2254 LA BRANCH ST, HOUSTON, TX 77002",29.745071999999997,-95.368149,2438,1585,374952,328529,357097,-4265,326185.0
77002,"3100 MAIN ST, HOUSTON, TX 77002",29.741756,-95.377223,750,,392616,171276,263501,-5762,
77002,"2207 AUSTIN ST, HOUSTON, TX 77002",29.745618,-95.36860899999999,2293,1829,343652,310924,327288,-1417,325000.0
77002,"2204 CAROLINE ST, HOUSTON, TX 77002",29.746321000000002,-95.369697,1944,1515,310192,275404,289899,-222,296400.0
77002,"408 WEBSTER ST, HOUSTON, TX 77002",29.750590000000003,-95.37657800000001,710,,520748,262303,385739,-4644,
77002,"4923 TRAVIS ST, HOUSTON, TX 77002",29.729740000000003,-95.38728499999999,2501,1873,452977,409837,431407,-4570,439000.0
77002,"1300 MAIN ST, HOUSTON, TX 77002",29.754116999999997,-95.36747199999999,750,,392616,171276,263501,-5762,
77002,"2213 AUSTIN ST, HOUSTON, TX 77002",29.745584,-95.368636,2418,1830,345459,312559,329009,-834,327238.0
77002,"300 SMITH ST, HOUSTON, TX 77002",29.764191999999998,-95.364437,,78458268,9791604,3280187,4895802,-42697,3956785.0
